0x0642 1 .X....X..XX....., 4 bits, 3 clusters
0x0643 1 XX....X..XX....., 5 bits, 3 clusters
0x0644 1 ..X...X..XX....., 4 bits, 3 clusters
0x0646 1 .XX...X..XX....., 5 bits, 3 clusters
0x0647 1 XXX...X..XX....., 6 bits, 3 clusters
0x0648 1 ...X..X..XX....., 4 bits, 3 clusters
0x0649 1 X..X..X..XX....., 5 bits, 4 clusters
0x064c 1 ..XX..X..XX....., 5 bits, 3 clusters
0x064e 1 .XXX..X..XX....., 6 bits, 3 clusters
0x064f 1 XXXX..X..XX....., 7 bits, 3 clusters
0x0660 1 .....XX..XX....., 4 bits, 2 clusters
0x0661 1 X....XX..XX....., 5 bits, 3 clusters
0x0662 1 .X...XX..XX....., 5 bits, 3 clusters
0x0663 1 XX...XX..XX....., 6 bits, 3 clusters
0x0664 1 ..X..XX..XX....., 5 bits, 3 clusters
0x0666 1 .XX..XX..XX....., 6 bits, 3 clusters
0x0667 1 XXX..XX..XX....., 7 bits, 3 clusters
0x0670 1 ....XXX..XX....., 5 bits, 2 clusters
0x0671 1 X...XXX..XX....., 6 bits, 3 clusters
0x0672 1 .X..XXX..XX....., 6 bits, 3 clusters
0x0673 1 XX..XXX..XX....., 7 bits, 3 clusters
0x0678 1 ...XXXX..XX....., 6 bits, 2 clusters
0x0679 1 X..XXXX..XX....., 7 bits, 3 clusters
0x067c 1 ..XXXXX..XX....., 7 bits, 2 clusters
0x067e 1 .XXXXXX..XX....., 8 bits, 2 clusters
0x067f 1 XXXXXXX..XX....., 9 bits, 2 clusters
0x0701 1 X.......XXX....., 4 bits, 2 clusters
0x0702 1 .X......XXX....., 4 bits, 2 clusters
0x0703 1 XX......XXX....., 5 bits, 2 clusters
0x0704 1 ..X.....XXX....., 4 bits, 2 clusters
0x0706 1 .XX.....XXX....., 5 bits, 2 clusters
0x0707 1 XXX.....XXX....., 6 bits, 2 clusters
0x0708 1 ...X....XXX....., 4 bits, 2 clusters
0x0709 1 X..X....XXX....., 5 bits, 3 clusters
0x070c 1 ..XX....XXX....., 5 bits, 2 clusters
